map_size,robot_density,num_robots,load,arm,n,completed_orders_mean,completed_orders_ci_low,completed_orders_ci_high,avg_excess_delay_mean,avg_excess_delay_ci_low,avg_excess_delay_ci_high,deadlock_ratio_mean_mean,deadlock_ratio_mean_ci_low,deadlock_ratio_mean_ci_high,risk_rate_per_100_mean,risk_rate_per_100_ci_low,risk_rate_per_100_ci_high
20,0.18,72,low,hungarian,10,314.2,225.27819834423082,403.12180165576916,37.70376973078239,30.32257013221024,45.084969329354536,0.4479242,0.27153158013566847,0.6243168198643315,71.03332,51.14322809584972,90.92341190415029
20,0.18,72,low,jsq,10,311.8,194.7061767380054,428.8938232619946,29.867079929183685,23.435786533775072,36.2983733245923,0.4215408,0.19709641021141902,0.645985189788581,63.05334,39.80102093906761,86.30565906093238
20,0.18,72,low,phasec,10,347.1,266.2970676452441,427.90293235475593,28.486719912963185,24.77308277064465,32.20035705528172,0.2872131,0.10201086674225082,0.4724153332577492,50.24667,25.619753235153595,74.87358676484641
20,0.18,72,mid,combo_s1_j1,10,316.7,233.65418011939244,399.74581988060754,28.38218268132217,25.28067108809345,31.483694274550892,0.4485648,0.25262172257010435,0.6445078774298956,64.49332,39.261992015826095,89.7246479841739
20,0.18,72,mid,greedy,10,337.9,229.40632510005304,446.3936748999469,27.95641755807337,23.90112214243856,32.01171297370818,0.3992407,0.1772239995359636,0.6212574004640364,58.519999999999996,32.46059714208799,84.579402857912
20,0.18,72,mid,hungarian,10,327.2,242.57610334890535,411.8238966510946,30.722409991301955,24.48423259949157,36.96058738311234,0.4506882,0.2528280816863955,0.6485483183136045,67.79999,42.21716812929293,93.38281187070706
20,0.18,72,mid,jsq,10,343.0,238.05010125592278,447.94989874407725,27.816225105252414,23.71751810233451,31.91493210817032,0.3904304,0.17185005483762078,0.6090107451623792,58.26,32.31493176646606,84.20506823353394
20,0.18,72,mid,phasec,10,335.3,261.3643655101856,409.2356344898144,31.352084480455243,27.054396995086574,35.649771965823916,0.4209045,0.23822545155779143,0.6035835484422086,65.59334,42.75148215553595,88.43519784446404
30,0.12,108,high,combo_s1_j1,10,292.1,235.3649360000743,348.83506399992575,38.30454124475378,33.913806099772245,42.69527638973531,0.5589,0.4571218046997669,0.6606781953002331,79.36667,70.9199029992593,87.81343700074069
30,0.12,108,high,greedy,10,273.8,207.75706300971405,339.842936990286,39.11946488533496,33.07799462872762,45.1609351419423,0.6065727,0.5156592677615642,0.6974861322384357,84.13999,76.51428169872209,91.76569830127791
30,0.12,108,high,hungarian,10,236.0,147.458707559019,324.541292440981,39.04261086495547,33.27207185095571,44.81314987895523,0.6387301,0.5298689108287796,0.7475912891712203,86.90666,80.66962941471992,93.14369058528008
30,0.12,108,high,jsq,10,302.5,267.49011826920474,337.50988173079526,41.49382084575812,32.52539215104207,50.462249540474176,0.5796585000000001,0.5173023993095545,0.6420146006904457,84.51332,76.88635865599363,92.14028134400635
30,0.12,108,high,phasec,10,333.5,237.6022925525421,429.3977074474579,42.22818057659578,34.45668148726506,49.99967966592651,0.4661469,0.28943330114496235,0.6428604988550376,78.52001,69.98716478227779,87.05285521772221
30,0.12,108,low,combo_s1_j1,10,356.9,300.1008318448451,413.69916815515484,30.992521560842157,26.115600870979357,35.86944225070496,0.2573106,0.07961344720961691,0.43500775279038306,46.55334,20.0455497169881,73.06113028301189
30,0.12,108,low,greedy,10,307.6,255.23683003693753,359.9631699630625,37.671187901713104,29.053906963620967,46.28846883980524,0.43468829999999997,0.24700708810398936,0.6223695118960106,67.47333,39.988225098265225,94.95843490173479
30,0.12,108,low,hungarian,10,315.5,237.84779642242012,393.1522035775799,37.112516043304005,30.224385821426107,44.0006462651819,0.3926667,0.21509930586267012,0.5702340941373298,70.52668,49.24811503065875,91.80524496934125
30,0.12,108,low,jsq,10,307.3,263.5765988748281,351.0234011251719,34.88233922608969,28.208858045533603,41.55582040664578,0.4300493,0.25555600152023916,0.6045425984797609,68.72,41.575634830477725,95.86436516952227
30,0.12,108,low,phasec,10,299.4,228.80104233428207,369.99895766571785,34.589045779315896,29.313544741882534,39.864546816749254,0.3634135,0.177578769629312,0.549248230370688,56.05334,34.427960216733766,77.67871978326623
30,0.12,108,mid,combo_s1_j1,10,370.9,301.9526806981639,439.8473193018361,37.952968140144094,31.25198443477043,44.65395184551775,0.4169013,0.26303801075836264,0.5707645892416373,69.39999,50.773684723979684,88.02629527602032
30,0.12,108,mid,greedy,10,320.7,252.11600252229564,389.28399747770436,41.11845697906781,32.62321029702599,49.613703661109625,0.4970375,0.3249358966118644,0.6691391033881356,75.81333,55.52347405499111,96.10318594500887
30,0.12,108,mid,hungarian,10,279.1,184.79553615690227,373.4044638430978,36.773341145474575,32.66878503594996,40.87789725499919,0.5364968,0.35779001722010323,0.7152035827798968,73.03333,53.421992860907174,92.64466713909283
30,0.12,108,mid,jsq,10,327.3,241.78497358921214,412.8150264107879,41.267376880644335,32.13418474317243,50.40056901811624,0.4598357,0.2738558894183587,0.6458155105816413,74.34666,54.536893332485604,94.1564266675144
30,0.12,108,mid,phasec,10,334.0,263.7232883636083,404.2767116363917,37.65703780403594,31.90004264265341,43.414032965418464,0.45965310000000004,0.3103288712545832,0.6089773287454169,73.45334,60.15769987147472,86.74898012852528
30,0.15,135,high,combo_s1_j1,10,308.5,257.2496713389373,359.7503286610627,45.50199352121052,37.053920090157746,53.9500669522633,0.515763,0.4338971097327091,0.5976288902672908,80.62667,73.81955424888362,87.43378575111639
30,0.15,135,high,greedy,10,346.3,308.4813596597978,384.1186403402022,53.501492102856794,38.96053256095611,68.04245164475748,0.49214030000000003,0.4387835939058503,0.5454970060941498,88.13335000000001,81.59641066996329,94.67028933003672
30,0.15,135,high,hungarian,10,254.3,182.49215688640533,326.1078431135947,52.2891988025687,38.46533296594165,66.11306463919576,0.606534,0.5147507397798525,0.6983172602201475,90.31333000000001,85.524188980938,95.10247101906201
30,0.15,135,high,jsq,10,327.1,271.84648006578436,382.3535199342157,49.36168229924878,37.06408402038161,61.65928057811595,0.5119971,0.4413293584971881,0.582664841502812,88.70668,82.68267414419213,94.73068585580788
30,0.15,135,high,phasec,10,333.5,263.7045183354495,403.2954816645505,42.26964590986741,36.768245594139174,47.77104622559564,0.4439171,0.3189817790023955,0.5688524209976045,75.93334,67.98405765918726,83.88262234081274
30,0.15,135,low,combo_s1_j1,10,320.9,269.4600847514404,372.3399152485596,39.21328065433698,29.999203088177367,48.427358220496586,0.3137368,0.16416848705579296,0.463305112944207,56.90666,30.94603045285674,82.86728954714326
30,0.15,135,low,greedy,10,274.6,196.65694901555136,352.54305098444866,42.176872637142274,31.088254108732126,53.26549116555242,0.4143255,0.2221009808878245,0.6065500191121755,69.67332,42.184039536268514,97.1626004637315
30,0.15,135,low,hungarian,10,309.1,246.26119007113363,371.9388099288664,48.53976007938835,33.06918348546614,64.01033667331056,0.4158984,0.27798552601957327,0.5538112739804267,78.5,57.891696412825965,99.10830358717403
30,0.15,135,low,jsq,10,276.2,202.08098449913348,350.3190155008665,44.95418621554721,32.834608398604075,57.073764032490345,0.4159798,0.2267467362003764,0.6052128637996237,70.41999,43.453741892390624,97.38623810760937
30,0.15,135,low,phasec,10,306.7,251.3122471424752,362.0877528575248,31.22901978587289,27.20953643293459,35.24850313881119,0.3378706,0.18850450541975755,0.4872366945802425,66.24,51.211157402878904,81.2688425971211
30,0.15,135,mid,combo_s1_j1,10,331.6,281.64984866729964,381.5501513327004,41.0072446669689,32.61021978987977,49.40426954405803,0.4139389,0.29731132884720085,0.5305664711527991,72.42666,54.19788877102525,90.65543122897475
30,0.15,135,mid,greedy,10,297.1,230.80301252057995,363.3969874794201,46.054526191150494,34.873261830946106,57.23579055135488,0.4658661,0.3004246723326543,0.6313075276673457,76.50001,56.087220274398916,96.91279972560109
30,0.15,135,mid,hungarian,10,288.0,227.02237980701526,348.9776201929848,51.577232066641386,40.159994574832496,62.99446955845028,0.5245891,0.4018877314442196,0.6472904685557804,84.04668,73.30086003327395,94.79249996672604
30,0.15,135,mid,jsq,10,284.2,213.66743746444553,354.73256253555445,43.2013464328732,32.79798219030978,53.60471067543662,0.4979837,0.32789585842211755,0.6680715415778824,78.26001,57.26037508028794,99.25964491971204
30,0.15,135,mid,phasec,10,261.5,203.109608766746,319.89039123325404,37.83438600744066,29.91841090882874,45.75036110605259,0.5417061,0.452250948606637,0.6311612513933629,80.54001,74.0941850675765,86.98583493242349
30,0.18,162,high,combo_s1_j1,10,320.1,251.4518641136381,388.748135886362,49.59247001001462,38.622109351406266,60.56283066862298,0.4244305,0.3233470627963915,0.5255139372036084,79.70668,69.7317340659657,89.68162593403432
30,0.18,162,high,greedy,10,246.3,188.726680510612,303.873319489388,64.01553856310258,47.76315155044805,80.26792557575712,0.5530995,0.46868968354400997,0.63750931645599,90.48,86.03651450651358,94.92348549348642
30,0.18,162,high,hungarian,10,273.9,217.9216270637954,329.8783729362045,51.47199197260476,36.06868147765983,66.87530246754969,0.5366024,0.46632336965452736,0.6068814303454727,92.08666,88.77254705223038,95.40077294776961
30,0.18,162,high,jsq,10,275.8,218.5925146852663,333.00748531473374,74.13127286631922,59.72737933053156,88.53516640210688,0.5274214,0.44595600449081174,0.6088867955091883,90.46667000000001,86.02761199011628,94.90572800988373
30,0.18,162,high,phasec,10,303.2,245.2391168671935,361.1608831328065,55.10779059603862,37.325901484066634,72.8896797080106,0.4563016,0.3613447937561224,0.5512584062438776,81.03332999999999,73.59154112179856,88.47511887820143
30,0.18,162,low,combo_s1_j1,10,264.3,221.5697067590387,307.0302932409613,40.64524744110473,32.86510059043565,48.425394291773806,0.3577143,0.21000628142120648,0.5054223185787935,70.70000999999999,51.816849377506145,89.58317062249384
30,0.18,162,low,greedy,10,247.2,201.58537722204537,292.8146227779546,52.96441415043126,36.55680127356946,69.37202702729306,0.4231057,0.27026882482980175,0.5759425751701982,76.82666,54.360988869718966,99.29233113028104
30,0.18,162,low,hungarian,10,248.5,185.76551503040136,311.2344849695986,50.559772838238416,32.90419758194672,68.21534809453011,0.432305,0.2656786760363806,0.5989313239636194,77.72,55.270834011958556,100.16916598804144
30,0.18,162,low,jsq,10,247.2,201.58537722204537,292.8146227779546,52.962510455022525,36.55560082877986,69.36942008126519,0.42309959999999996,0.2702673379289739,0.5759318620710261,76.82666,54.360988869718966,99.29233113028104
30,0.18,162,low,phasec,10,302.3,236.3145562793642,368.28544372063584,77.28264022952324,35.47652935666073,119.08875110238574,0.3296018,0.18298111331181705,0.47622248668818296,67.81333000000001,49.169443278672546,86.45721672132747
30,0.18,162,mid,combo_s1_j1,10,335.3,293.0406948444705,377.5593051555295,52.47750720673641,30.935576144953767,74.01943826851905,0.3792738,0.2888204401553928,0.46972715984460717,79.34002,68.82717230078708,89.85286769921291
30,0.18,162,mid,greedy,10,252.0,213.8759584072589,290.1240415927411,69.43165848375098,39.601942816961774,99.26137415054018,0.5013949999999999,0.40276282015677817,0.6000271798432217,87.64668,79.49007193236244,95.80328806763757
30,0.18,162,mid,hungarian,10,283.4,235.59141355410355,331.2085864458964,67.18720704441783,36.43122392380013,97.94319016503553,0.4862363,0.4037948624356901,0.56867773756431,89.46001,84.26219243534773,94.65782756465227
30,0.18,162,mid,jsq,10,253.7,208.6494873433083,298.7505126566917,65.62825520686764,37.78825645531677,93.4682539584185,0.498658,0.40018450102564374,0.5971314989743562,87.99335,79.74430685696905,96.24239314303097
