variant,load,seed,arm,ticks,assignment_time_ms_mean,avg_excess_delay,avg_task_duration,completed_orders,completed_tasks,congestion_events,deadlock_ratio_max,deadlock_ratio_mean,open_order_count,pending_order_count,risk_rate_per_100,severe_events,stall_ratio_max,stall_ratio_mean,wall_time_s
map20_r48_s6,mid,724,phasec,1500,105.3215,24.409724583475008,38.06834410064604,713,2941,68,0.1875,0.010694,40,6,4.5333,39,0.166667,0.016417,221.15
map20_r48_s6,mid,725,phasec,1500,115.026,23.46714334354784,37.06060606060606,704,2937,83,0.166667,0.010111,44,7,5.5333,62,0.145833,0.019208,265.1
map20_r48_s6,mid,726,phasec,1500,94.5717,24.782405864711762,38.282905698100635,726,3001,47,0.145833,0.007917,35,5,3.1333,37,0.1875,0.014986,190.51
map20_r48_s6,mid,727,phasec,1500,109.696,23.694271911663215,37.22153209109731,707,2898,37,0.145833,0.007556,40,2,2.4667,33,0.125,0.014486,216.59
map20_r48_s6,mid,728,phasec,1500,137.3835,21.993912749408185,35.493067297937095,728,2957,11,0.104167,0.003722,33,4,0.7333,3,0.104167,0.013222,263.35
map20_r48_s6,mid,729,phasec,1500,108.4901,23.529411764705884,36.768382352941174,736,2992,105,0.1875,0.012556,48,12,7.0,68,0.1875,0.019069,224.05
map20_r48_s6,mid,730,phasec,1500,93.642,23.1837279093031,36.77725908636212,717,2999,192,0.166667,0.035583,46,11,12.8,177,0.166667,0.045194,534.56
map20_r48_s6,high,721,phasec,1500,56.7655,19.36904024767802,32.90402476780186,376,1615,1037,0.979167,0.51675,408,372,69.1333,1008,0.104167,0.048208,480.55
map20_r48_s6,high,722,phasec,1500,90.235,25.073079537729434,38.77158395649218,711,2942,68,0.166667,0.009042,37,6,4.5333,16,0.125,0.016847,209.88
map20_r48_s6,high,723,phasec,1500,173.4206,21.203985932004688,34.4232121922626,556,2559,290,0.166667,0.030708,23,0,19.3333,120,0.208333,0.039778,644.95
map20_r48_s6,high,724,phasec,1500,90.8939,24.30789825970549,37.896251673360105,720,2988,134,0.166667,0.018722,42,9,8.9333,84,0.1875,0.025583,318.13
map20_r48_s6,high,725,phasec,1500,107.7294,24.17597292724196,37.70152284263959,712,2955,127,0.208333,0.015278,37,3,8.4667,111,0.145833,0.018458,229.72
map20_r48_s6,high,726,phasec,1500,126.8737,22.427043808209728,35.89582614694722,680,2899,24,0.125,0.005139,14,0,1.6,10,0.145833,0.013306,228.37
map20_r48_s6,high,727,phasec,1500,83.6048,26.36664415935179,40.00101282916948,713,2962,110,0.229167,0.015069,44,7,7.3333,64,0.145833,0.016722,191.23
map20_r48_s6,high,728,phasec,1500,87.3755,24.32463295269168,38.00717781402936,760,3065,48,0.145833,0.008931,43,12,3.2,28,0.125,0.014694,181.43
map20_r48_s6,high,729,phasec,1500,134.897,22.671968893601978,35.8978437610463,660,2829,66,0.166667,0.008847,21,0,4.4,33,0.125,0.011542,272.29
map20_r48_s6,high,730,phasec,1500,40.3884,20.487635239567233,33.90726429675425,312,1294,1112,1.0,0.622542,440,405,74.1333,1106,0.208333,0.117514,826.86
map20_r48_s6,low,721,combo_s1_j1,1500,176.9853,20.211764705882352,33.33376906318083,517,2295,75,0.145833,0.015083,30,2,5.0,57,0.125,0.018778,404.94
map20_r48_s6,low,722,combo_s1_j1,1500,138.5261,22.949579831932773,36.31617647058823,670,2856,28,0.125,0.006583,48,10,1.8667,12,0.125,0.014625,274.56
