variant,arm,load,seed,map_rows,map_cols,num_robots,num_stations,robot_density,order_arrival_count,completion_fraction,completed_orders,completed_tasks,avg_task_duration,avg_excess_delay,open_order_count,pending_order_count,stall_ratio_mean,stall_ratio_max,deadlock_ratio_mean,deadlock_ratio_max,congestion_events,severe_events,risk_rate_per_100
map20_r48_s4,jsq,mid,701,20,20,48,4,0.12,568,0.9383802816901409,533,2342,48.8467122117848,34.619555935098205,35,5,0.015722,0.125,0.021944,0.25,117,53,7.8
map20_r48_s4,jsq,mid,702,20,20,48,4,0.12,437,0.39359267734553777,172,783,37.784163473818644,23.79948914431673,265,231,0.205264,0.270833,0.717028,1.0,1343,1306,89.5333
map20_r48_s4,jsq,mid,703,20,20,48,4,0.12,526,0.9258555133079848,487,2149,42.936714751047,29.396463471382038,39,4,0.04825,0.208333,0.124847,0.770833,433,414,28.8667
map20_r48_s4,jsq,mid,704,20,20,48,4,0.12,470,0.9659574468085106,454,2104,41.081273764258555,26.98906844106464,16,0,0.011778,0.104167,0.009681,0.208333,63,25,4.2
map20_r48_s4,jsq,mid,705,20,20,48,4,0.12,523,0.9694072657743786,507,2185,45.85354691075515,32.037528604119,16,0,0.020639,0.229167,0.028389,0.229167,233,193,15.5333
map20_r48_s4,jsq,mid,706,20,20,48,4,0.12,555,0.6990990990990991,388,1628,43.25675675675676,29.41031941031941,167,129,0.119,0.291667,0.371431,0.958333,711,684,47.4
map20_r48_s4,jsq,mid,707,20,20,48,4,0.12,495,0.20404040404040405,101,532,33.0187969924812,18.048872180451127,394,360,0.160611,0.208333,0.836681,1.0,1418,1418,94.5333
map20_r48_s4,jsq,mid,708,20,20,48,4,0.12,502,0.3107569721115538,156,878,34.60364464692483,19.930523917995444,346,316,0.105125,0.166667,0.672569,0.979167,1227,1227,81.8
map20_r48_s4,jsq,mid,709,20,20,48,4,0.12,547,0.6581352833638026,360,1583,46.725837018319645,32.253316487681616,187,156,0.063181,0.208333,0.387708,0.9375,830,796,55.3333
map20_r48_s4,jsq,mid,710,20,20,48,4,0.12,443,0.963882618510158,427,1972,41.53904665314402,27.877789046653145,16,1,0.015292,0.166667,0.018486,0.25,142,100,9.4667
