load,seed,branch,completed_orders,deadlock_ratio,risk_per_100,avg_excess_delay,final_backlog
high,923,JSQ,133.0,0.740694,87.7333,24.29806451612903,859.0
high,924,JSQ,234.0,0.565889,81.8,28.092887029288704,551.0
high,925,JSQ,523.0,0.023403,13.8667,29.689519650655022,20.0
high,926,JSQ,120.0,0.817806,91.7333,21.448275862068964,835.0
high,927,JSQ,160.0,0.757639,89.8,20.718579234972676,785.0
high,928,JSQ,539.0,0.042056,23.2,32.90592014685635,22.0
high,929,JSQ,359.0,0.362083,56.1333,31.621523579201934,386.0
high,930,JSQ,322.0,0.427167,69.9333,31.729234793982997,399.0
high,931,JSQ,557.0,0.028403,13.8,35.577453027139875,30.0
high,932,JSQ,415.0,0.382222,63.4667,29.414693381906496,252.0
high,933,JSQ,343.0,0.438097,59.8667,32.58703071672355,393.0
high,934,JSQ,269.0,0.515792,76.3333,31.147034930950447,478.0
high,935,JSQ,422.0,0.304653,50.3333,31.256637168141594,339.0
high,936,JSQ,156.0,0.750069,86.6,23.26745718050066,762.0
high,937,JSQ,530.0,0.030597,15.3333,36.21299483648881,47.0
high,938,JSQ,393.0,0.318931,54.2667,31.901123595505616,303.0
high,939,JSQ,89.0,0.874167,95.5333,20.133333333333333,856.0
high,940,JSQ,566.0,0.029361,17.4667,34.955422203171885,30.0
high,941,JSQ,142.0,0.758014,89.2667,22.282517482517484,760.0
high,942,JSQ,306.0,0.455611,62.6,31.4980959634425,413.0
high,943,JSQ,539.0,0.041042,20.9333,34.815471045808124,32.0
high,944,JSQ,489.0,0.034444,15.3333,27.96472743930371,24.0
high,945,JSQ,520.0,0.048694,31.2667,37.266637089618456,28.0
high,946,JSQ,173.0,0.711014,84.0667,23.429569266589056,711.0
high,947,JSQ,520.0,0.035472,18.7333,33.74988933156264,30.0
high,948,JSQ,513.0,0.052875,29.5333,32.7194043741275,24.0
high,949,JSQ,311.0,0.514194,66.1333,29.06891495601173,479.0
high,900,PhaseC,540.0,0.028167,15.3333,33.555701754385964,21.0
high,901,PhaseC,537.0,0.010486,2.4,31.85726756874727,24.0
high,902,PhaseC,210.0,0.680097,83.1333,24.065040650406505,590.0
high,903,PhaseC,572.0,0.024708,12.3333,32.96714406065712,38.0
high,904,PhaseC,501.0,0.023514,13.6667,26.906491148433954,25.0
high,905,PhaseC,253.0,0.596472,77.0,30.90171755725191,536.0
high,906,PhaseC,413.0,0.300375,41.3333,31.048861743475847,274.0
high,907,PhaseC,233.0,0.640889,78.0,25.911522633744855,624.0
high,908,PhaseC,514.0,0.119625,42.7333,37.85209302325581,88.0
high,909,PhaseC,167.0,0.723514,84.7333,22.242979242979242,715.0
high,910,PhaseC,172.0,0.718778,85.4,28.61061946902655,687.0
high,911,PhaseC,447.0,0.199264,50.5333,31.951877313590693,113.0
high,912,PhaseC,261.0,0.502264,61.4667,31.581375838926174,496.0
high,913,PhaseC,560.0,0.031347,16.6,34.23857442348008,30.0
high,914,PhaseC,352.0,0.413583,71.4667,34.66079891672309,370.0
high,915,PhaseC,526.0,0.014125,5.0,29.892233856893544,23.0
high,916,PhaseC,509.0,0.029042,13.8,30.140794223826713,31.0
high,917,PhaseC,403.0,0.324236,50.0,31.731428571428573,323.0
high,918,PhaseC,255.0,0.557639,77.6667,31.453053783044666,510.0
high,919,PhaseC,522.0,0.057861,24.9333,32.14374445430346,31.0
high,920,PhaseC,501.0,0.022931,10.8667,30.445632798573975,25.0
high,921,PhaseC,276.0,0.563569,72.5333,27.210202286719436,484.0
high,922,PhaseC,501.0,0.017056,10.0,26.92562358276644,31.0
high,923,PhaseC,166.0,0.727514,83.3333,26.038309114927344,789.0
high,924,PhaseC,178.0,0.692597,84.7333,26.0544794188862,662.0
high,925,PhaseC,166.0,0.738375,86.6667,27.385144429160935,717.0
high,926,PhaseC,126.0,0.798333,90.5333,26.010619469026548,819.0
high,927,PhaseC,391.0,0.315278,51.4667,31.31902879728967,331.0
high,928,PhaseC,372.0,0.404694,56.6,29.322538860103627,339.0
high,929,PhaseC,544.0,0.027542,16.4,34.20871065114273,28.0
high,930,PhaseC,453.0,0.181944,44.3333,36.59503722084367,127.0
high,931,PhaseC,164.0,0.732431,85.4667,26.63164721141375,812.0
high,932,PhaseC,534.0,0.042986,23.4,33.9901654000894,26.0
high,933,PhaseC,372.0,0.385833,64.6667,33.20290771175727,332.0
high,934,PhaseC,322.0,0.474319,76.0,31.44119907763259,362.0
high,935,PhaseC,388.0,0.35475,51.4667,30.648488441019563,409.0
high,936,PhaseC,94.0,0.844931,94.2667,21.624463519313306,887.0
high,937,PhaseC,295.0,0.472528,64.2,30.290895632864544,519.0
high,938,PhaseC,471.0,0.163681,41.1333,34.5261893320519,153.0
high,939,PhaseC,67.0,0.893069,95.1333,17.205211726384366,900.0
high,940,PhaseC,303.0,0.5015,65.6667,29.254615384615384,548.0
high,941,PhaseC,514.0,0.025792,12.4,30.841129744042366,24.0
high,942,PhaseC,508.0,0.027542,17.8,31.749339207048457,22.0
high,943,PhaseC,174.0,0.723333,85.0,25.47924528301887,761.0
high,944,PhaseC,487.0,0.042708,23.7333,30.558363970588236,26.0
high,945,PhaseC,311.0,0.424236,57.4,34.54493170381021,433.0
high,946,PhaseC,505.0,0.068681,25.6667,32.8092807424594,41.0
high,947,PhaseC,204.0,0.661181,81.8,25.320128479657388,657.0
high,948,PhaseC,108.0,0.801347,89.2,23.977315689981097,825.0
high,949,PhaseC,172.0,0.694528,74.6,27.56763590391909,752.0
low,900,ComboS1J1,174.0,0.715194,85.4667,19.714285714285715,577.0
low,901,ComboS1J1,513.0,0.020931,10.9333,31.03494623655914,35.0
low,902,ComboS1J1,370.0,0.009083,3.3333,23.858757062146893,10.0
low,903,ComboS1J1,514.0,0.021792,10.6,31.525658807212206,11.0
low,904,ComboS1J1,233.0,0.606194,73.6667,24.279319606087736,661.0
low,905,ComboS1J1,335.0,0.381417,59.0667,27.738709677419354,114.0
low,906,ComboS1J1,499.0,0.040514,20.4,35.22074346030289,15.0
low,907,ComboS1J1,529.0,0.034403,18.5333,33.55080935251799,47.0
low,908,ComboS1J1,204.0,0.682292,82.2,27.393023255813954,419.0
low,909,ComboS1J1,438.0,0.026014,11.2667,31.187376725838263,11.0
low,910,ComboS1J1,514.0,0.022347,11.0667,31.104523495827845,40.0
low,911,ComboS1J1,141.0,0.742792,85.6667,23.54368932038835,564.0
low,912,ComboS1J1,213.0,0.552236,67.8667,24.68040293040293,467.0
low,913,ComboS1J1,388.0,0.007472,3.4667,24.335276967930028,10.0
low,914,ComboS1J1,170.0,0.65375,80.8667,26.699742268041238,370.0
low,915,ComboS1J1,558.0,0.0285,16.2,32.26684050412864,34.0
low,916,ComboS1J1,392.0,0.008944,4.7333,24.113846153846154,9.0
low,917,ComboS1J1,431.0,0.008181,1.7333,28.26448893572181,11.0
low,918,ComboS1J1,268.0,0.498097,66.9333,30.276936026936028,222.0
low,919,ComboS1J1,484.0,0.077181,21.4,30.817153628652214,31.0
low,920,ComboS1J1,548.0,0.023639,11.0,33.34896063688633,14.0
low,921,ComboS1J1,253.0,0.620014,77.0667,21.773294908741594,548.0
low,922,ComboS1J1,433.0,0.019972,9.2667,29.275624004248538,11.0
low,923,ComboS1J1,321.0,0.005708,0.8667,18.659362549800797,10.0
low,924,ComboS1J1,425.0,0.038431,13.0,30.247226624405705,13.0
low,925,ComboS1J1,334.0,0.007444,3.2,20.940557275541796,12.0
low,926,ComboS1J1,233.0,0.622389,81.9333,27.155241935483872,295.0
low,927,ComboS1J1,93.0,0.829931,89.6667,21.90174672489083,515.0
low,928,ComboS1J1,319.0,0.452264,60.1333,26.933860531991375,215.0
low,929,ComboS1J1,462.0,0.012972,5.4,28.736456808199122,9.0
low,930,ComboS1J1,348.0,0.004472,1.6667,21.39146800501882,12.0
low,931,ComboS1J1,516.0,0.038528,18.4667,31.757602468047597,15.0
low,932,ComboS1J1,439.0,0.016889,4.7333,27.805717310746427,14.0
low,933,ComboS1J1,486.0,0.04325,25.8667,32.155807365439095,23.0
