campaign,variant,load,seed,arm,ticks,wall_time_s,assignment_time_ms_mean
main_50seed,map20_r48_s4,low,903,Greedy,1500,340.89,
main_50seed,map20_r48_s4,low,903,Hungarian,1500,67.41,
main_50seed,map20_r48_s4,low,903,JSQ,1500,336.07,
main_50seed,map20_r48_s4,low,903,PhaseC,1500,480.94,146.9957
main_50seed,map20_r48_s4,low,903,ComboS1J1,1500,366.09,186.5676
main_50seed,map20_r48_s4,low,904,Greedy,1500,75.5,
main_50seed,map20_r48_s4,low,904,Hungarian,1500,73.43,
main_50seed,map20_r48_s4,low,904,JSQ,1500,84.81,
main_50seed,map20_r48_s4,low,904,PhaseC,1500,778.24,58.7305
main_50seed,map20_r48_s4,low,904,ComboS1J1,1500,1376.74,124.4126
main_50seed,map20_r48_s4,low,905,Greedy,1500,936.84,
main_50seed,map20_r48_s4,low,905,Hungarian,1500,124.08,
main_50seed,map20_r48_s4,low,905,JSQ,1500,866.89,
main_50seed,map20_r48_s4,low,905,PhaseC,1500,1107.35,44.8146
main_50seed,map20_r48_s4,low,905,ComboS1J1,1500,496.85,125.3348
main_50seed,map20_r48_s4,low,906,Greedy,1500,253.17,
main_50seed,map20_r48_s4,low,906,Hungarian,1500,616.89,
main_50seed,map20_r48_s4,low,906,JSQ,1500,293.47,
main_50seed,map20_r48_s4,low,906,PhaseC,1500,587.99,116.5916
main_50seed,map20_r48_s4,low,906,ComboS1J1,1500,375.87,155.3757
main_50seed,map20_r48_s4,low,907,Greedy,1500,131.69,
main_50seed,map20_r48_s4,low,907,Hungarian,1500,112.5,
main_50seed,map20_r48_s4,low,907,JSQ,1500,120.89,
main_50seed,map20_r48_s4,low,907,PhaseC,1500,1076.39,75.4206
main_50seed,map20_r48_s4,low,907,ComboS1J1,1500,351.59,151.5725
main_50seed,map20_r48_s4,low,908,Greedy,1500,1285.2,
main_50seed,map20_r48_s4,low,908,Hungarian,1500,1043.74,
main_50seed,map20_r48_s4,low,908,JSQ,1500,1089.03,
main_50seed,map20_r48_s4,low,908,PhaseC,1500,597.48,69.3504
main_50seed,map20_r48_s4,low,908,ComboS1J1,1500,1485.09,103.4089
main_50seed,map20_r48_s4,low,909,Greedy,1500,880.59,
main_50seed,map20_r48_s4,low,909,Hungarian,1500,151.6,
main_50seed,map20_r48_s4,low,909,JSQ,1500,619.85,
main_50seed,map20_r48_s4,low,909,PhaseC,1500,726.57,203.755
main_50seed,map20_r48_s4,low,909,ComboS1J1,1500,391.09,192.1996
main_50seed,map20_r48_s4,low,910,Greedy,1500,132.55,
main_50seed,map20_r48_s4,low,910,Hungarian,1500,705.37,
main_50seed,map20_r48_s4,low,910,JSQ,1500,126.64,
main_50seed,map20_r48_s4,low,910,PhaseC,1500,342.08,158.6237
main_50seed,map20_r48_s4,low,910,ComboS1J1,1500,350.57,179.7767
main_50seed,map20_r48_s4,low,911,Greedy,1500,471.7,
main_50seed,map20_r48_s4,low,911,Hungarian,1500,1131.5,
main_50seed,map20_r48_s4,low,911,JSQ,1500,562.78,
main_50seed,map20_r48_s4,low,911,PhaseC,1500,835.99,44.9196
main_50seed,map20_r48_s4,low,911,ComboS1J1,1500,1327.17,107.107
main_50seed,map20_r48_s4,low,912,Greedy,1500,1101.18,
main_50seed,map20_r48_s4,low,912,Hungarian,1500,2285.14,
main_50seed,map20_r48_s4,low,912,JSQ,1500,454.8,
main_50seed,map20_r48_s4,low,912,PhaseC,1500,898.27,48.6363
main_50seed,map20_r48_s4,low,912,ComboS1J1,1500,2239.9,135.7553
main_50seed,map20_r48_s4,low,913,Greedy,1500,567.82,
main_50seed,map20_r48_s4,low,913,Hungarian,1500,46.37,
main_50seed,map20_r48_s4,low,913,JSQ,1500,575.2,
main_50seed,map20_r48_s4,low,913,PhaseC,1500,415.74,247.6297
main_50seed,map20_r48_s4,low,913,ComboS1J1,1500,414.39,252.4336
main_50seed,map20_r48_s4,low,914,Greedy,1500,1067.5,
main_50seed,map20_r48_s4,low,914,Hungarian,1500,42.7,
main_50seed,map20_r48_s4,low,914,JSQ,1500,1069.73,
main_50seed,map20_r48_s4,low,914,PhaseC,1500,1011.59,234.0123
main_50seed,map20_r48_s4,low,914,ComboS1J1,1500,1483.32,113.0727
main_50seed,map20_r48_s4,low,915,Greedy,1500,104.62,
main_50seed,map20_r48_s4,low,915,Hungarian,1500,99.33,
main_50seed,map20_r48_s4,low,915,JSQ,1500,100.79,
main_50seed,map20_r48_s4,low,915,PhaseC,1500,326.69,162.492
main_50seed,map20_r48_s4,low,915,ComboS1J1,1500,340.83,166.2275
main_50seed,map20_r48_s4,low,916,Greedy,1500,1037.6,
main_50seed,map20_r48_s4,low,916,Hungarian,1500,52.59,
main_50seed,map20_r48_s4,low,916,JSQ,1500,87.02,
main_50seed,map20_r48_s4,low,916,PhaseC,1500,397.08,239.7074
main_50seed,map20_r48_s4,low,916,ComboS1J1,1500,408.83,248.5783
main_50seed,map20_r48_s4,low,917,Greedy,1500,691.2,
main_50seed,map20_r48_s4,low,917,Hungarian,1500,968.33,
main_50seed,map20_r48_s4,low,917,JSQ,1500,93.26,
main_50seed,map20_r48_s4,low,917,PhaseC,1500,375.26,218.8667
main_50seed,map20_r48_s4,low,917,ComboS1J1,1500,407.9,230.2725
main_50seed,map20_r48_s4,low,918,Greedy,1500,944.16,
main_50seed,map20_r48_s4,low,918,Hungarian,1500,833.1,
main_50seed,map20_r48_s4,low,918,JSQ,1500,635.36,
main_50seed,map20_r48_s4,low,918,PhaseC,1500,950.16,56.5037
main_50seed,map20_r48_s4,low,918,ComboS1J1,1500,1025.17,118.1473
main_50seed,map20_r48_s4,low,919,Greedy,1500,363.37,
main_50seed,map20_r48_s4,low,919,Hungarian,1500,103.12,
main_50seed,map20_r48_s4,low,919,JSQ,1500,632.79,
main_50seed,map20_r48_s4,low,919,PhaseC,1500,375.03,182.4054
main_50seed,map20_r48_s4,low,919,ComboS1J1,1500,537.21,160.7832
main_50seed,map20_r48_s4,low,920,Greedy,1500,210.74,
main_50seed,map20_r48_s4,low,920,Hungarian,1500,560.72,
main_50seed,map20_r48_s4,low,920,JSQ,1500,416.27,
main_50seed,map20_r48_s4,low,920,PhaseC,1500,1390.94,51.2032
main_50seed,map20_r48_s4,low,920,ComboS1J1,1500,336.43,158.9979
main_50seed,map20_r48_s4,low,921,Greedy,1500,110.87,
main_50seed,map20_r48_s4,low,921,Hungarian,1500,78.37,
main_50seed,map20_r48_s4,low,921,JSQ,1500,358.22,
main_50seed,map20_r48_s4,low,921,PhaseC,1500,390.92,155.4147
main_50seed,map20_r48_s4,low,921,ComboS1J1,1500,927.91,126.5199
main_50seed,map20_r48_s4,low,922,Greedy,1500,735.27,
main_50seed,map20_r48_s4,low,922,Hungarian,1500,1076.97,
main_50seed,map20_r48_s4,low,922,JSQ,1500,89.08,
main_50seed,map20_r48_s4,low,922,PhaseC,1500,917.13,72.0264
main_50seed,map20_r48_s4,low,922,ComboS1J1,1500,402.88,215.6143
main_50seed,map20_r48_s4,low,923,Greedy,1500,867.47,
main_50seed,map20_r48_s4,low,923,Hungarian,1500,29.51,
main_50seed,map20_r48_s4,low,923,JSQ,1500,24.48,
main_50seed,map20_r48_s4,low,923,PhaseC,1500,454.69,289.2301
main_50seed,map20_r48_s4,low,923,ComboS1J1,1500,502.58,292.8856
main_50seed,map20_r48_s4,low,924,Greedy,1500,796.7,
main_50seed,map20_r48_s4,low,924,Hungarian,1500,461.57,
main_50seed,map20_r48_s4,low,924,JSQ,1500,992.92,
main_50seed,map20_r48_s4,low,924,PhaseC,1500,1289.39,87.131
main_50seed,map20_r48_s4,low,924,ComboS1J1,1500,588.06,198.2867
main_50seed,map20_r48_s4,low,925,Greedy,1500,833.54,
main_50seed,map20_r48_s4,low,925,Hungarian,1500,35.91,
main_50seed,map20_r48_s4,low,925,JSQ,1500,843.13,
main_50seed,map20_r48_s4,low,925,PhaseC,1500,446.97,280.5904
main_50seed,map20_r48_s4,low,925,ComboS1J1,1500,470.0,282.8831
main_50seed,map20_r48_s4,low,926,Greedy,1500,878.5,
main_50seed,map20_r48_s4,low,926,Hungarian,1500,85.14,
main_50seed,map20_r48_s4,low,926,JSQ,1500,1139.42,
main_50seed,map20_r48_s4,low,926,PhaseC,1500,1205.16,47.7668
main_50seed,map20_r48_s4,low,926,ComboS1J1,1500,1206.45,101.6312
main_50seed,map20_r48_s4,low,927,Greedy,1500,1187.94,
main_50seed,map20_r48_s4,low,927,Hungarian,1500,38.98,
main_50seed,map20_r48_s4,low,927,JSQ,1500,52.11,
main_50seed,map20_r48_s4,low,927,PhaseC,1500,442.53,252.054
main_50seed,map20_r48_s4,low,927,ComboS1J1,1500,1618.05,94.4003
main_50seed,map20_r48_s4,low,928,Greedy,1500,545.92,
main_50seed,map20_r48_s4,low,928,Hungarian,1500,62.72,
main_50seed,map20_r48_s4,low,928,JSQ,1500,608.37,
main_50seed,map20_r48_s4,low,928,PhaseC,1500,396.93,220.2632
main_50seed,map20_r48_s4,low,928,ComboS1J1,1500,970.92,124.5668
main_50seed,map20_r48_s4,low,929,Greedy,1500,586.35,
main_50seed,map20_r48_s4,low,929,Hungarian,1500,1222.05,
main_50seed,map20_r48_s4,low,929,JSQ,1500,296.26,
